1. ENORMOUS
   a) Soft
   b) Average
   c) Tiny
   d) Weak

   Answer: c

2. COMMISSIONED
   a) Started
   b) Closed
   c) Finished
   d) Terminated

   Answer: d

3. ARTIFICIAL
   a) Red
   b) Natural
   c) Truthful
   d) Solid

   Answer: b

4. EXODUS
   a) Influx
   b) Home-coming
   c) Return
   d) Restoration

   Answer: a

5. RELINQUISH
   a) Abdicate
   b) Renounce
   c) Possess
   d) Deny

   Answer: c

6. EXPAND
   a) Convert
   b) Condense
   c) Congest
   d) Conclude

   Answer: b

7. MORTAL
   a) Divine
   b) Immortal
   c) Spiritual
   d) Eternal

   Answer: b

8. QUIESCENT
   a) ACTIVE
   b) Dormant
   c) Weak
   d) Unconcerned

   Answer: a

9. OBEYING
   a) Ordering
   b) Following
   c) Refusing
   d) Contradicting

   Answer: a

10. FRAUDULENT
   a) Candid
   b) Direct
   c) Forthright
   d) Genuine

   Answer: d

11. FLAGITIOUS
   a) Innocent
   b) Vapid
   c) Ignorant
   d) Frivolous

   Answer: a

12. BELITTLE
   a) Criticize
   b) Flatter
   c) Exaggerate
   d) Adore

   Answer: c

13. STARTLED
   a) Amused
   b) Relaxed
   c) Endless
   d) Astonished

   Answer: b

14. BUSY
   a) Occupied
   b) Engrossed
   c) Relaxed
   d) Engaged

   Answer: c

15. FRESH
   a) Faulty
   b) Sluggish
   c) Disgraceful
   d) Stale

   Answer: d

16. CULPABLE
   a) Defendable
   b) Blameless
   c) Careless
   d) Irresponsible

   Answer: b

17. EVASIVE
   a) Free
   b) Honest
   c) Liberal
   d) Frank

   Answer: b

18. GREGARIOUS
   a) Antisocial
   b) Glorious
   c) Horrendous
   d) Similar

   Answer: a

19. AWARE
   a) Uncertain
   b) Ignorant
   c) Sure
   d) Doubtful

   Answer: b

20. HIRSUTE
   a) Scaly
   b) Bald
   c) Erudite
   d) Quiet

   Answer: b

21. SHRINK
   a) Contract
   b) Spoil
   c) Expand
   d) Stretch

   Answer: c

22. COMMON
   a) Rare
   b) Small
   c) Petty
   d) Poor

   Answer: a

23. COMFORT
   a) Uncomfort
   b) Miscomfort
   c) Discomfort
   d) None Of These

   Answer: c

24. DEAR
   a) Priceless
   b) Free
   c) Worthless
   d) Cheap

   Answer: d

25. ARROGANT
   a) Humble
   b) Cowardly
   c) Egotistic
   d) Gentlemanly

   Answer: a

26. VICTORIOUS
   a) Defeated
   b) Annexed
   c) Destroyed
   d) Vanquished

   Answer: a

27. GRACEFUL
   a) Rough
   b) Expert
   c) Miserable
   d) Awkward

   Answer: d

28. NADIR
   a) Modernity
   b) Zenith
   c) Liberty
   d) Progress

   Answer: b

29. EXTRAVAGANCE
   a) Luxury
   b) Poverty
   c) Economical
   d) Cheapness

   Answer: c

30. PERTINENT
   a) Irrational
   b) Irregular
   c) Insistent
   d) Irrelevant

   Answer: d

31. OBSCURE
   a) Implicit
   b) Obnoxious
   c) Explicit
   d) Pedantic

   Answer: c

32. URBANE
   a) Illiterate
   b) Backward
   c) Discourteous
   d) Orthodox

   Answer: c

33. VANITY
   a) Pride
   b) Humility
   c) Conceit
   d) Ostentatious

   Answer: b

34. RARELY
   a) Hardly
   b) Definately
   c) Frequently
   d) Periodically

   Answer: c

35. MALICIOUS
   a) Kind
   b) Boastful
   c) Generous
   d) Indifferent

   Answer: a

36. EPILOGUE
   a) Dialogue
   b) Prelude
   c) Post script
   d) Epigram

   Answer: b

37. CAPACIOUS
   a) Limited
   b) Caring
   c) Foolish
   d) Changeable

   Answer: a

38. CONDENSE
   a) Expand
   b) Distribute
   c) Interpret
   d) Lengthen

   Answer: a

39. ADAPTABLE
   a) Adoptable
   b) Flexible
   c) Yielding
   d) Rigid

   Answer: d

40. SACROSANCT
   a) Irreligious
   b) Unethical
   c) Irreverent
   d) Unholy

   Answer: d

41. INDISCREET
   a) Reliable
   b) Honest
   c) Prudent
   d) Stupid

   Answer: c

42. FAMILIAR
   a) Unpleasant
   b) Dangerous
   c) Friendly
   d) Strange

   Answer: d

43. TANGIBLE
   a) Ethereal
   b) Concrete
   c) Actual
   d) Solid

   Answer: a

44. LOVE
   a) Villainy
   b) Hatred
   c) Compulsion
   d) Force

   Answer: b

45. FAMOUS
   a) Disgraced
   b) Unknown
   c) Evil
   d) Popular

   Answer: b

46. ABSOLUTE
   a) Deficient
   b) Faulty
   c) Limited
   d) Scarce

   Answer: c

47. FRUGAL
   a) Copious
   b) Extravagant
   c) Generous
   d) Ostentatious

   Answer: b

48. INSIPID
   a) Tasty
   b) Stupid
   c) Discreet
   d) Feast

   Answer: a

49. ABLE
   a) Disable
   b) Inable
   c) Unable
   d) Misable

   Answer: c

50. HOSTILITY
   a) Courtesy
   b) Hospitality
   c) Relationship
   d) Friendliness

   Answer: d

51. CROWDED
   a) Busy
   b) Congested
   c) Quiet
   d) Deserted

   Answer: d

52. COMIC
   a) Emotional
   b) Tragic
   c) Fearful
   d) Painful

   Answer: b

53. HAPLESS
   a) Cheerful
   b) Consistent
   c) Fortunate
   d) Shapely

   Answer: c

54. FLIMSY
   a) Frail
   b) Filthy
   c) Firm
   d) Flippant

   Answer: c

55. EQUANIMITY
   a) Resentment
   b) Dubiousness
   c) Duplicity
   d) Excitement

   Answer: d

56. ADDITION
   a) Division
   b) Enumeration
   c) Subtraction
   d) Multiplication

   Answer: c

57. ZENITH
   a) Acme
   b) Top
   c) Nadir
   d) Pinnacle

   Answer: c

58. DOUBTFUL
   a) Famous
   b) Certain
   c) Fixed
   d) Important

   Answer: b

59. PERENNIAL
   a) Frequent
   b) Regular
   c) Lasting
   d) Rare

   Answer: d

60. BENIGN
   a) Malevolent
   b) Soft
   c) Friendly
   d) Unwise

   Answer: a

61. HINDRANCE
   a) Aid
   b) Persuasion
   c) Cooperation
   d) Agreement

   Answer: a

62. EXTRICATE
   a) Manifest
   b) Palpable
   c) Release
   d) Entangle

   Answer: d

63. REPRESS
   a) Inhibit
   b) Liberate
   c) Curb
   d) Quell

   Answer: b

64. ACQUITTED
   a) Freed
   b) Burdened
   c) Convicted
   d) Entrusted

   Answer: c

65. PROVOCATION
   a) Vocation
   b) Pacification
   c) Peace
   d) Destruction

   Answer: b

